Year,GeoCode,Geography,Mother's education,Birth Order,Birth Intervals,Sex,Location,Wealth Index,Mother age at birth,Value
2010,,,,,,,,,20-29yr,59.0
2010,,,,,,,,,,59.0
2010,AFRRWA003006,Rusizi,,,,,,,,59.0
2010,AFRRWA003007,Nyamasheke,,,,,,,,60.0
2010,AFRRWA004001,Rulindo,,,,,,,,60.0
2007-2008,AFRRWA001,Kigali City,,,,,,,,60.0
2010,,,,,,,,,30-39yr,61.0
2010,,,,,,,,Middle,,61.0
2007-2008,,,,,2yr,,,,,61.0
2014-2015,AFRRWA005004,Kayonza,,,,,,,,61.0
2010,,,,,,,Rural,,,62.0
2010,,,,1,,,,,,62.0
2007-2008,,,,,4+yr,,,,,62.0
2007-2008,,,,,,,,,,62.0
2014-2015,AFRRWA005005,Kirehe,,,,,,,,63.0
2005,,,Secondary and higher,,,,,,,64.0
2010,AFRRWA002001,Nyanza,,,,,,,,65.0
2010,,,,,,,,,40-49yr,66.0
2010,,,,,,,,Fourth,,66.0
2010,AFRRWA005004,Kayonza,,,,,,,,66.0
2010,AFRRWA001002,Gasabo,,,,Male,,,,66.0
2010,,,,,,,,,,67.0
2010,AFRRWA004002,Gakenke,,,,,,,,67.0
2005,AFRRWA001,Kigali City,,,,,,,,68.0
2010,AFRRWA004005,Gicumbi,,,,,,,,68.0
2010,AFRRWA005007,Bugesera,,,,,,,,68.0
2007-2008,,,,2-3,,,,,,68.0
2005,,,,,,,Urban,,,69.0
2010,,,,,,,,Poorest,,70.0
2010,AFRRWA002002,Gisagara,,,,,,,,70.0
2005,,,,,3yr,,,,,71.0
2007-2008,,,,,,Female,,,,71.0
2007-2008,,,,,,,,,20-29yr,71.0
2007-2008,AFRRWA004,North,,,,,,,,71.0
2005,,,,,,,,Richest,,73.0
2010,AFRRWA002004,Huye,,,,,,,,73.0
2007-2008,,,Primary,,,,,,,73.0
2007-2008,,,,,,,,,40-49yr,73.0
2010,AFRRWA002003,Nyaruguru,,,,,,,,74.0
2007-2008,,,,,,,,Middle,,74.0
2010,,,No education,,,,,,,75.0
2010,AFRRWA004004,Burera,,,,,,,,76.0
2010,AFRRWA005005,Kirehe,,,,,,,,77.0
2007-2008,,,,1,,,,,,77.0
2005,,,,,4+yr,,,,,78.0
2010,,,,,,,,,<20yr,78.0
2010,,,,7+,,,,,,78.0
2007-2008,,,,,6-Apr,,,,,78.0
2010,AFRRWA003004,Nyabihu,,,,,,,,79.0
2007-2008,AFRRWA002,South,,,,,,,,79.0
2007-2008,AFRRWA003,West,,,,,,,,79.0
2007-2008,,,,,,,Rural,,,82.0
2007-2008,,,,,,,,Second,,82.0
2010,AFRRWA004003,Musanze,,,,,,,,83.0
2007-2008,,,,,,Male,,,,83.0
2007-2008,,,,,,,,,30-39yr,83.0
2007-2008,AFRRWA005,East,,,,,,,,84.0
1992,,,,,,,,,,85.0
2007-2008,,,,,,,,Fourth,,85.0
2005,,,,,,,,,,86.0
2005,,,,,2yr,,,,,88.0
2005,AFRRWA004,North,,,,,,,,89.0
2005,,,,,,,,Middle,,90.0
2010,AFRRWA003,West,,,,,,,,91.1
2005,,,,4-6,,,,,,93.0
2010,AFRRWA005006,Ngoma,,,,,,,,93.0
2010,AFRRWA005,East,,,,,,,,94.2
2007-2008,,,,,,,,,<20yr,96.0
2010,AFRRWA004,North,,,,,,,,97.4
2010,AFRRWA002,South,,,,,,,,97.6
2005,,,,,,,,,30-39yr,98.0
2010,AFRRWA001,Kigali City,,,,,,,,98.2
2005,,,,2-3,,,,,,99.0
2005,,,,,,Female,,,,99.0
2005,,,,,,,,,20-29yr,99.0
2007-2008,,,,,,,,Poorest,,99.0
